Time,Animal Type and Number,Location,Rating,Tinged By,Title
9:22am,Herd of Elephant stationary,"""Next to the road with a tiny baby."" H4-2, 2km from Lower Sabie",5/5,Marie and Hendrik,"Nov 27, 2023 · 9:10 AM UTC"
10:16am,2 Elephants eating,"""Amazing sighting"" S7, 500m N of S10 N junction, 10m from road Near Pretoriuskop",5/5,LvVuuren,"Dec 15, 2023 · 8:29 AM UTC"
9:57am,4 Elephant drinking and Hippopotamus,"S3, road at Mestel dam Near Numbi",5/5,LvVuuren,"Dec 15, 2023 · 8:18 AM UTC"
9:46am,4 Elephant drinking,"""Calves play fighting and mother swimming"" S3, at Mestel dam Near Numbi",3/5,Koinian,"Dec 15, 2023 · 8:18 AM UTC"
9:32am,4 Elephant drinking,"S3, at Mestel dam Near Numbi",3/5,Koinian,"Dec 15, 2023 · 8:18 AM UTC"
8:52am,Herd of Elephant eating,"H3, 100m south of Mlambane river on both sides Near Malelane",5/5,Die Agies,"Dec 15, 2023 · 7:15 AM UTC"
7:02am,1 Elephant stationary,"""Elephant bull in riverbed."" S1, 11km E of S3 towards Skukuza",5/5,Cdab,"Dec 15, 2023 · 5:13 AM UTC"
1:54pm,3 Elephant stationary,"H9, 1km E of S51 E junction Near Phalaborwa",2/5,CelesteRaath,"Dec 14, 2023 · 12:05 PM UTC"
11:37am,1 Elephant eating,"S28, 4.7km N of S137, in marshy area E side of road Near Lower Sabie",5/5,Peter53,"Dec 14, 2023 · 11:43 AM UTC"
10:45am,15 Elephant crossed road,"S28, 600m S of S107 Near Crocodile Bridge",5/5,Peter53,"Dec 14, 2023 · 11:43 AM UTC"
12:36pm,6 Elephant stationary,"H4-2, 2.8km N of H5 Near Lower Sabie",5/5,Peter53,"Dec 14, 2023 · 10:52 AM UTC"
12:27pm,1 Elephant ,"H4-2, 5.3km N of H5 Near Lower Sabie",5/5,Peter53,"Dec 14, 2023 · 10:43 AM UTC"
10:43am,1 Elephant stationary,"S110 tar, 2km W of H3 Near Malelane",5/5,Mansi,"Dec 15, 2023 · 10:49 AM UTC"
8:50am,4 Elephant on the move,"H3, 800m N of S118 Near Malelane",5/5,NickavdM,"Dec 16, 2023 · 8:47 AM UTC"
8:13am,5 Elephant ,"S119, 1.2km N of S25 Near Malelane",5/5,Belindaoelofse,"Dec 16, 2023 · 6:49 AM UTC"
8:05am,5 Elephant on the move,"H3, 1.1km S of S120 Near Malelane",5/5,Zeldavd,"Dec 17, 2023 · 6:16 AM UTC"
6:52am,5 Elephant stationary,"S20, 450m from H1-1 Near Pretoriuskop",5/5,Cartman85,"Dec 17, 2023 · 5:19 AM UTC"
3:07pm,6 Elephants eating,"H4-2, 1.3km N of H5 Near Lower Sabie",3/5,LianePretorius,"Dec 16, 2023 · 2:14 PM UTC"
2:02pm,2 Elephants eating,"H6, 9.6km from H1-3 Near Satara",4/5,Scheeperse,"Dec 16, 2023 · 1:03 PM UTC"
2:05pm,Herd of Elephant stationary,"H3, at the Mlambane Bridge Near Malelane",5/5,MRS,"Dec 17, 2023 · 1:07 PM UTC"
7:36am,10 plus Elephant crossed road,"S1, 1.4km E of the Nyamundwa Dam Near Phabeni",5/5,Donzzy,"Dec 19, 2023 · 6:45 AM UTC"
7:35am,6 Elephant stationary,"H4-2, 1.1km E of H10 Near Lower Sabie",5/5,Martin0708,"Dec 19, 2023 · 5:54 AM UTC"
10:50am,1 Elephant on the move,"S1, 290m W of S4 Near Skukuza",4/5,Vishsonne,"Dec 21, 2023 · 8:54 AM UTC"
5:00am,2 Elephants chasing off a pack of Wild Dogs,"H4-2, 200m N of S130 S junction Near Crocodile Bridge",5/5,Mfundo On Safari,"Dec 21, 2023 · 5:37 AM UTC"
6:27am,6 Elephants on the move,"S28, 7km E of H4-2 S junction Near Crocodile Bridge",5/5,Mventer21,"Dec 21, 2023 · 4:49 AM UTC"
1:37pm,6 Elephant stationary,"H4-1, 3.8km E of H11 Near Skukuza",4/5,Marianne6932,"Dec 21, 2023 · 11:54 AM UTC"
12:02pm,1 Elephant stationary,"H4-1, 2.1km E of H11 Near Skukuza",2/5,Vishsonne,"Dec 21, 2023 · 10:23 AM UTC"
10:41am,2 Lion stationary and Elephant,"S90, 600m N of S41 Near Satara",5/5,BushAddict,"Dec 21, 2023 · 10:23 AM UTC"
11:31am,6 Elephants eating,"H4-2, 5.9km N of H5 Near Lower Sabie",5/5,Ziya,"Dec 23, 2023 · 2:14 PM UTC"
1:06pm,20 Elephants on the move,"H10, 9.6km N of H4-2 Near Lower Sabie",5/5,goost,"Dec 23, 2023 · 2:13 PM UTC"
8:25am,1 Elephant drinking,"S65, at N'waswitshaka waterhole Near Skukuza",5/5,Kumbana,"Dec 23, 2023 · 10:40 AM UTC"
10:40am,2 Elephants fighting,"H1-3, in Kumana dam Near Tshokwane",5/5,Raheel,"Dec 23, 2023 · 10:39 AM UTC"
10:40am,Herd of Elephant swimming,"H1-3, in Kumana dam Near Tshokwane",5/5,Raheel,"Dec 23, 2023 · 10:38 AM UTC"
10:23am,6 Elephant ,"S114, 1.8km S of S25 Near Malelane",5/5,CStrijdom,"Dec 23, 2023 · 9:05 AM UTC"
8:29am,10 Elephant crossed road,"H4-2, 1km N of S130 S junction Near Crocodile Bridge",5/5,ElizeHogg,"Dec 23, 2023 · 9:05 AM UTC"
9:10am,20 Elephant crossed road,"H4-2, 1.2km S of S130 N junction Near Lower Sabie",5/5,ElizeHogg,"Dec 23, 2023 · 9:05 AM UTC"
1:44pm,10 Elephant drinking,"H4-2, 4.7km N of S28 N jnction, across the river Near Lower Sabie",4/5,MadMac3,"Dec 22, 2023 · 12:20 PM UTC"
8:38am,5 Elephant crossed road,"S39, 6.7km W of H1-4 Near Olifants",5/5,tomtomco90,"Dec 22, 2023 · 12:20 PM UTC"
12:49pm,1 Elephant stationary,"S28, 10.5km E of H4-2 S junction Near Crocodile Bridge",3/5,MadMac3,"Dec 22, 2023 · 11:20 AM UTC"
7:50am,1 Elephant on the move,"S25, 1.9km W of Mjejane private camp road turnoff Near Malelane",5/5,Braydonm07,"Dec 22, 2023 · 6:03 AM UTC"
6:50am,Herd of Elephant,"H9, at Rhidonda dam Near Letaba",5/5,Renata - Kedibone Safaris,"Dec 22, 2023 · 5:39 AM UTC"
6:29am,6 Elephants on the move,"H14, 3.1km N of the H9 Near Phalaborwa",5/5,DieStanders,"Dec 24, 2023 · 2:01 PM UTC"
6:38am,8 Elephants on the move,"S130, 1.4km N of the H4-2 S entrance Near Crocodile Bridge",5/5,Rafaelco,"Dec 24, 2023 · 9:53 AM UTC"
10:43am,1 Elephant ,"S25, 5.1km W of H4-2 Near Crocodile Bridge",5/5,Antoinette,"Dec 26, 2023 · 9:02 AM UTC"
7:29am,2 Elephant ,"H2-2, just after turning off from H1-1 Near Pretoriuskop",5/5,Joe,"Dec 26, 2023 · 5:32 AM UTC"
6:19am,1 Elephant stationary,"H1-1, 1.7km N of S114 Near Skukuza",3/5,LeonSmrs,"Dec 26, 2023 · 4:36 AM UTC"
8:01am,2 Elephants eating,"H7, 5.3km W of S106 E junction Near Orpen",4/5,Ashlynf,"Dec 26, 2023 · 2:56 PM UTC"
1:55pm,1 Elephant eating,"H4-2, 3.2km S of H5 Near Crocodile Bridge",5/5,MJ7,"Dec 26, 2023 · 2:55 PM UTC"
9:48am,1 Elephant ,"H3, 2km N of S114 Near Malelane",2/5,JohanJvRensburg,"Dec 28, 2023 · 8:22 AM UTC"
7:58am,3 Elephant on the move,"H9, 2.3km E of S96 Near Letaba",1/5,CaitlinWhytock,"Dec 28, 2023 · 7:19 AM UTC"
8:56am,1 Elephant eating,"S25, 3.7km E of S26 Near Crocodile Bridge",5/5,maricellolivier,"Dec 28, 2023 · 7:15 AM UTC"
8:35am,6 Elephant eating,"H4-2, 3.6km N of S28 S junction Near Crocodile Bridge",4/5,PetervdM,"Dec 28, 2023 · 6:43 AM UTC"
10:29am,1 Elephant ,"H3, 4.1km N of S113 Near Skukuza",4/5,Vigilremiss,"Dec 27, 2023 · 10:40 AM UTC"
10:47am,2 Elephant ,"S110 sand, 1.9km W of H3 Near Malelane",2/5,Handgebrandt,"Dec 29, 2023 · 9:00 AM UTC"
10:12am,1 Elephant stationary,"H11, 4km E of S1 Near Skukuza",5/5,CharlN,"Dec 29, 2023 · 8:32 AM UTC"
9:35am,1 Elephant ,"S1, 3km W of S65 Near Skukuza",4/5,CharlN,"Dec 29, 2023 · 8:10 AM UTC"
8:43am,3 Elephant stationary,"H1-1, 550m W of S20 Near Pretoriuskop",5/5,FrankDC,"Dec 29, 2023 · 7:21 AM UTC"
8:37am,5 Elephant eating,"S130, 1.7km E of H4-2 S junction Near Crocodile Bridge",3/5,Sicon,"Dec 29, 2023 · 6:45 AM UTC"
7:25am,8 Elephant on the move,"S110 tar, 2.9km W of H3, on the mountain Near Malelane",5/5,EdenEngelsman,"Dec 29, 2023 · 6:42 AM UTC"
8:30am,1 Elephant eating,"S25, 5.8km W of H4-2 Near Crocodile Bridge",3/5,AnyaLun,"Dec 29, 2023 · 6:42 AM UTC"
5:49pm,2 Elephants mating,"S28, while traveliing along with their herd Near Crocodile Bridge",5/5,Dhaler Family,"Dec 28, 2023 · 3:53 PM UTC"
3:58pm,5 Elephants eating,"S1, 4.4km W of S4 Near Skukuza",5/5,Tashotten,"Dec 28, 2023 · 2:14 PM UTC"
12:23pm,20 Elephants crossed road,"S114, 900m S of S119 Near Malelane",5/5,Dewald123,"Dec 28, 2023 · 10:44 AM UTC"
11:53am,1 Elephant stationary,"S130, 550m N of S137 Near Lower Sabie",2/5,VOliviertjie,"Dec 28, 2023 · 10:44 AM UTC"
10:52am,1 Elephant stationary,"H11, 2.1km W of S1 Near Paul Kruger Gate",5/5,Jainge,"Dec 28, 2023 · 9:16 AM UTC"
10:44am,1 Elephant eating,"S25, 3.3km E of S26 Near Crocodile Bridge",4/5,APeters,"Dec 28, 2023 · 8:50 AM UTC"
11:39am,10 Elephant eating,"S114, 2.6km N of S118 Near Malelane",5/5,CharlieSim,"Dec 30, 2023 · 10:06 AM UTC"
7:45am,2 Elephant stationary,"H11, 3.1km E of S1 Near Skukuza",3/5,Andric,"Dec 30, 2023 · 8:35 AM UTC"
10:15am,1 Elephant on the move and Giraffe,"S28, 600m E of H4-2 S junction Near Crocodile Bridge",2/5,Melliebw,"Dec 30, 2023 · 8:35 AM UTC"
8:06am,3 Elephant eating,"H4-2, 3.1km S of S130 S junction Near Crocodile Bridge",5/5,RoelfJvR,"Dec 30, 2023 · 6:22 AM UTC"
1:10pm,20 Elephants on the move,"S28, 9.1km E of H4-2 S junction Near Crocodile Bridge",5/5,AmyWall,"Dec 29, 2023 · 11:20 AM UTC"
1:05pm,1 Elephant eating,"S1, 750m E of S65 Near Skukuza",5/5,Koubergine,"Dec 29, 2023 · 11:20 AM UTC"
11:33am,1 Elephant ,"H1-1, 750m E of H2-2 Near Pretoriuskop",5/5,Danny1809,"Dec 29, 2023 · 10:30 AM UTC"
2:50pm,50 Elephants,"H1-3, 500m S of Nkaya pan, 15m from the road Near Satara",4/5,Lunga,"Dec 30, 2023 · 3:40 PM UTC"
12:43pm,10 Elephants on the move,"S114, 2km S of S21 Near Skukuza",5/5,Wimpiekrugell,"Dec 30, 2023 · 11:28 AM UTC"
10:56am,2 Elephants,"H4-1, 3km E of H11 Near Skukuza",5/5,Raiden2912,"Dec 30, 2023 · 11:13 AM UTC"
10:51am,2 Elephants,"H4-1, 3.7km E of H11 Near Skukuza",5/5,Ob1,"Dec 30, 2023 · 11:12 AM UTC"
10:46am,4 Elephants on the move,"S28, 9.5km E of H4-2 S junction Near Crocodile Bridge",4/5,Melliebw,"Dec 30, 2023 · 11:12 AM UTC"
10:44am,1 Elephant on the move,"H4-1, 2.9km E of H11 Near Skukuza",2/5,Andric,"Dec 30, 2023 · 11:10 AM UTC"
10:41am,4 Elephants stationary,"S28, 9.4km E of H4-2 S junction Near Crocodile Bridge",4/5,Melliebw,"Dec 30, 2023 · 11:10 AM UTC"
10:48am,5 Elephants eating,"S114, 6.3km S of S21 Near Skukuza",5/5,CharlieSim,"Dec 30, 2023 · 11:09 AM UTC"
11:03am,5 Elephant crossed road,"H4-2, 3.1km N of S28 S junction Near Crocodile Bridge",5/5,Dvtuijl,"Dec 30, 2023 · 10:15 AM UTC"
11:12am,3 Elephant eating,"S114, 2.6km N of S139 Near Malelane",5/5,CharlieSim,"Dec 30, 2023 · 10:14 AM UTC"
