ID,Time,Animal Type and Number,Location,Rating,Tinged By,Title,Tweet Date
180,12:34pm,3 Wild Dogs sleeping,"H3, 1.4km N of Afsaal Near Jock Safari Lodge",3/5,JTSearle,"Dec 26, 2023 · 12:02 PM UTC",Dec 26
181,12:05pm,1 Spotted Hyena sleeping under a tree,"H1-1, just N of S114 Near Skukuza",5/5,Mieke4,"Dec 26, 2023 · 12:01 PM UTC",Dec 26
182,1:20pm,4 Wild Dogs running,"H3, 2.5km N of Afsaal Near Jock Safari lodge",5/5,Neels,"Dec 26, 2023 · 11:47 AM UTC",Dec 26
183,1:16pm,1 Cheetah running,"S25, 1km E of S27 turn off Near Crocodile Bridge",5/5,mia@23,"Dec 26, 2023 · 11:47 AM UTC",Dec 26
184,1:02pm,2 Marabou Storks,"S114, just after S121 Near Malelane",5/5,Aj Products,"Dec 26, 2023 · 11:47 AM UTC",Dec 26
185,11:53am,"2 Cheetahs were stationary, now on the move","S1, 1.1km E of S4 Near Skukuza",5/5,Mohammed patel,"Dec 26, 2023 · 11:30 AM UTC",Dec 26
187,11:48am,1 Spotted Hyena on the move,"H4-2, walking into the bush 1.2km S from S82 S junction Near Lower Sabie",5/5,Antoinette,"Dec 26, 2023 · 10:38 AM UTC",Dec 26
188,10:50am,Photo of the Pride of Lion stationary,"S137, 1.3km E of S130 on S side, in the rain Near Lower Sabie",5/5,Jean - Discover Kruger Safaris,"Dec 26, 2023 · 9:44 AM UTC",Dec 26
189,10:10am,3 Lions,"H14, 2km before Nandzana Near Phalaborwa",5/5,minx,"Dec 26, 2023 · 9:32 AM UTC",Dec 26
190,10:10am,1 Leopard crossed road,"H3, at S110 tar junction Near Malelane",5/5,Kumbana,"Dec 26, 2023 · 9:32 AM UTC",Dec 26
191,11:08am,2 Cheetahs,"S1, 2km E from S4 towards S65 Near Skukuza",3/5,The Sulemans,"Dec 26, 2023 · 9:32 AM UTC",Dec 26
193,9:35am,6 Lions stationary,"S137, 1km E of S130 Near Lower Sabie",3/5,Wildphotos 40,"Dec 26, 2023 · 9:04 AM UTC",Dec 26
194,8:44am,6 Wild Dogs stationary,"H5, 6km W of H4-2 Near Crocodile Bridge",5/5,Wildphotos 40,"Dec 26, 2023 · 9:04 AM UTC",Dec 26
195,10:43am,1 Elephant ,"S25, 5.1km W of H4-2 Near Crocodile Bridge",5/5,Antoinette,"Dec 26, 2023 · 9:02 AM UTC",Dec 26
196,8:36am,1 Honey Badger,"H3, 5.9km S of S112 Near Skukuza",5/5,Madz009,"Dec 26, 2023 · 8:45 AM UTC",Dec 26
197,9:59am,1 Spotted Hyena stationary,"H1-1, uner a tree next to the road 1.6km N of S114 Near Skukuza",5/5,KevinAltonToine,"Dec 26, 2023 · 8:45 AM UTC",Dec 26
198,8:19am,1 Spotted Hyena on the move,"S108, 550m W of H5 Near Crocodile Bridge",2/5,KevinAltonToine,"Dec 26, 2023 · 8:45 AM UTC",Dec 26
