Time,Animal Type and Number,Location,Rating,Tinged By,Title,Tweet Date
10:22am,4 Giraffe ,"H1-1, 1.9km N of S114 Near Skukuza",4/5,Tommi,"Dec 14, 2023 · 8:27 AM UTC",Dec 14
10:05am,3 Lion on the move,"""Lioness and 2 males"" H3, at S110 tar junction Near Malelane",5/5,Dalleen,"Dec 14, 2023 · 8:25 AM UTC",Dec 14
8:50am,Pack of Wild Dog stationary,"S110 tar, 200m W of H3, lying in shade close to the road Near Malelane",5/5,Christelle - Capture Nature Kruger Safaris,"Dec 14, 2023 · 7:53 AM UTC",Dec 14
9:24am,1 Leopard stationary,"H9, just past Masorini picnic site, 10m off the road in drainage lin Near Phalaborwa",5/5,Philip,"Dec 14, 2023 · 7:30 AM UTC",Dec 14
9:25am,1 Elephant stationary,"""In musth"" H5, about 6km W of S102 towards S114 Near Lower Sabie",5/5,Motalas,"Dec 14, 2023 · 7:30 AM UTC",Dec 14
8:30am,Large herd of Buffalo stationary,"""Big tree blocking the road to the buffaloes from the north but it is possible to pass it"" S130, 2.5km S of S137 Near Lower Sabie",5/5,Moshe sos,"Dec 14, 2023 · 7:16 AM UTC",Dec 14
9:01am,Pack of Wild Dog stationary,"H3, 100m N of S110 tar, under the bushes within 3m of the road Near Malelane",3/5,JessicaJane,"Dec 14, 2023 · 7:14 AM UTC",Dec 14
8:30am,3 Cheetah on the move,"H5, about 3km W of S102 towards the S114 Near Lower Sabie",5/5,Motalas,"Dec 14, 2023 · 6:51 AM UTC",Dec 14
8:21am,Photo of the Spotted Hyena eating a bone on the side of the road,"H3, N of Mlambane river just N of Renosterpan, on the W side of road but before Afsaal Near Malelane",5/5,SGL,"Dec 14, 2023 · 6:40 AM UTC",Dec 14
8:20am,Pride of Lion on the move,"""Lionesses and cubs were sitting then  crossed the road one cub was injured looked like a pretty deep cut on abdomen"" H1-2, about 5km W of H12 Near Skukuza",5/5,Naz and Laila,"Dec 14, 2023 · 6:36 AM UTC",Dec 14
8:21am,1 Spotted Hyena feeding,"""Chewing on an impala leg"" H3, 2.1km S of Afsaal Near Malelane",5/5,kelsww,"Dec 14, 2023 · 6:30 AM UTC",Dec 14
8:21am,1 Spotted Hyena stationary,"""Eating a bone on the side of the road"" H3, N of Mlambane river just N of Renosterpan, on the W side of road but before Afsaal Near Malelane",5/5,SGL,"Dec 14, 2023 · 6:28 AM UTC",Dec 14
7:50am,Photo of the Lionesses and cubs that crossed road,"H1-2, about 5km W of H12 Near Skukuza",5/5,Yadhir,"Dec 14, 2023 · 6:24 AM UTC",Dec 14
8:15am,"Road blocked by Tree branches, can't pass","S130, about 10km N of H4-2 S Near Crocodile Bridge",5/5,M,"Dec 14, 2023 · 6:21 AM UTC",Dec 14
7:50am,5 Lion crossed road,"""3 lionesses and 2 cubs"" H1-2, about 5km W of H12 Near Skukuza",5/5,Yadhir,"Dec 14, 2023 · 6:14 AM UTC",Dec 14
7:36am,1 Leopard crossed road,"H3, 220m S of S118 Near Malelane",5/5,kelsww,"Dec 14, 2023 · 6:07 AM UTC",Dec 14
7:49am,2 Spotted Hyena on the move with her cubs right next to the road,"H11, 6.4km E of S1 Near Skukuza",5/5,AusPat2023,"Dec 14, 2023 · 6:00 AM UTC",Dec 14
6:58am,1 Buffalo stationary,"H4-1, 600m W of Sunset dam Near Lower Sabie",5/5,GMV,"Dec 14, 2023 · 5:28 AM UTC",Dec 14
6:53am,3 Spotted Hyena on the move,"""Chasing each other around"" S114, 300m N of S121 Near Malelane",5/5,kelsww,"Dec 14, 2023 · 5:28 AM UTC",Dec 14
6:22am,Pack of Wild Dog stationary,"S110 tar, they were running on the H3 but have now settled down on the S110 tar Near Malelane",5/5,Aryeh,"Dec 14, 2023 · 4:57 AM UTC",Dec 14
5:06am,1 Leopard was stationary,"H3, 170m N of S118, ran off into bushes, possibly on the hunt Near Malelane",5/5,kelsww,"Dec 14, 2023 · 4:54 AM UTC",Dec 14
6:30am,7 Lion on a kill,"""Including Casper"" H1-3, 3km S of H6 on the E side next to road with a Zebra kill Near Satara",5/5,Donald - Kruger Park Safaris,"Dec 14, 2023 · 4:48 AM UTC",Dec 14
4:48am,3 Spotted Hyena on the move,"""Mom and 2 cubs"" H1-1, 750m N of S114 Near Skukuza",5/5,Rafaelwall85,"Dec 14, 2023 · 4:20 AM UTC",Dec 14
5:56am,1 Spotted Hyena on the move,"H4-2, just N os S25 Near Crocodile Bridge",5/5,KopiteonSafari,"Dec 14, 2023 · 4:20 AM UTC",Dec 14
5:59am,3 Lion stationary,"H4-2, 300m N of S28 S Near Crocodile Bridge",2/5,NicoleBrighton,"Dec 14, 2023 · 4:20 AM UTC",Dec 14
5:40am,Pride of Lion stationary,"H4-2, 300m N of S28 S Near Crocodile Bridge",4/5,Kerry - Kruger Pride Safaris,"Dec 14, 2023 · 4:13 AM UTC",Dec 14
3:29pm,1 Lion on a kill,"""Lioness a Blue wildebeest kill on the right-hand side,150m N past Gudzani East waterhole. It's easy to see the wildebeest, the lioness is lying in tall grass about 50m from the kill."" S41, 6.5km N of S100 Near Satara",5/5,Drian,"Dec 13, 2023 · 3:30 PM UTC",Dec 13
3:40pm,1 Leopard stationary,"""Update: Now on the termite mound beneath the tree on the south side. Visibility is 3/5 in one spot."" H4-1, 1.4km W of Nkuhlu Picnic Spot Near Skukuza",3/5,Christelle - Capture Nature Kruger Safaris,"Dec 13, 2023 · 2:58 PM UTC",Dec 13
4:40pm,Pack of Wild Dog stationary,"S121, 3km E of H3 Near Malelane",5/5,Chene and sion,"Dec 13, 2023 · 2:53 PM UTC",Dec 13
2:00pm,2 Lion stationary,"""A lioness with a cub lying on the eastern side."" H1-4, 200m N of Nyamarhi waterhole Near Olifants",5/5,Alberto - Matimba Lodge,"Dec 13, 2023 · 12:21 PM UTC",Dec 13
12:15pm,Pride of Lion stationary,"""Under a bush on the northern side."" Duke waterhole access road, 300m from S137 Near Lower Sabie",3/5,Christelle - Capture Nature Kruger Safaris,"Dec 13, 2023 · 11:47 AM UTC",Dec 13
10:05am,1 Leopard on the move,"H4-1, 500m N of Nkuhlu Picnic Spot Near Skukuza",5/5,Muaawiyah,"Dec 13, 2023 · 11:30 AM UTC",Dec 13
12:43pm,1 Leopard in a tree,"""Update: Sleeping, on the right-hand side of the road if heading to Skukuza. About 80-100m away from the road."" H1-1, 3.6km S of H11",3/5,lemonadeshock,"Dec 13, 2023 · 10:48 AM UTC",Dec 13
7:30am,1 Cheetah stationary,"""Lying 20m off the road on the northen side."" H7, 300m E of S39/36 junction Near Satara",4/5,Donald - Khalanga Safaris,"Dec 13, 2023 · 10:44 AM UTC",Dec 13
12:01pm,1 Leopard drinking,"""It was in a tree and then came down to drink water."" S25, 11.2km E of S139 Near Crocodile Bridge",5/5,The Neumann Girls,"Dec 13, 2023 · 10:35 AM UTC",Dec 13
8:15am,3 Lion on the move with kill,"S41, 6.5km S of S90 Near Satara",5/5,Mdmar,"Dec 13, 2023 · 10:29 AM UTC",Dec 13
10:00am,1 Lion stationary,"""A male on the right-hand side of the road. He was initially standing, walked some steps, and then lay down in the grass."" S40, 200m N of H7 Near Satara",3/5,Grietje,"Dec 13, 2023 · 10:25 AM UTC",Dec 13
10:30am,Pride of Lion stationary,"""Update: They are still here, on the northern side of the road. Visibility varies from 2/5 to 4/5."" H5, 4.2km S of S108 Near Crocodile Bridge",4/5,Christelle - Capture Nature Kruger Safaris,"Dec 13, 2023 · 10:25 AM UTC",Dec 13
12:01pm,1 Leopard in a tree,"H1-1, 3.6km S of H11 Near Skukuza",3/5,francois_vis,"Dec 13, 2023 · 10:05 AM UTC",Dec 13
11:12am,1 Leopard in a tree,"S25, 6.7km E of S119 Near Malelane",3/5,KennieG13,"Dec 13, 2023 · 10:04 AM UTC",Dec 13
11:12am,1 Leopard in a tree,"H1-1, 3.6km S of H11 Near Skukuza",3/5,Wilemneree,"Dec 13, 2023 · 9:29 AM UTC",Dec 13
8:50am,100 plus Buffalo grazing,"S26, 3km E of S102 Near Crocodile Bridge",3/5,BerniceVos,"Dec 13, 2023 · 9:21 AM UTC",Dec 13
10:18am,4 Wild Dogs sleeping,"H3, 200m S of Afsaal Near Malelane",5/5,The Neumann Girls,"Dec 13, 2023 · 8:40 AM UTC",Dec 13
7:30am,Pack of Wild Dog on the move,"""Heading North."" H1-4, at the S89 junction Near Olifants",5/5,Alberto - Matimba Lodge,"Dec 13, 2023 · 7:54 AM UTC",Dec 13
9:15am,2 Lions stationary,"""Males in the grass, 70m from the road on the eastern side. Visibility is 5/5 when up."" S40, 400m from H7 Near Satara",5/5,Alberto - Matimba Lodge,"Dec 13, 2023 · 7:53 AM UTC",Dec 13
7:55am,1 Leopard on the move,"""Walking through the grassland on the left hand side."" H1-4, about 2km N of S90 Near Satara",4/5,Grietje,"Dec 13, 2023 · 7:41 AM UTC",Dec 13
7:15am,2 Lions stationary,"""Males in the bushes next to the road on the eastern side. We were the first car by them. They then both got up and moved deeper into the bush. Visual varies. H3, 4.5km N of S113 Near Skukuza",5/5,MichaelLever1 - Latest Sightings,"Dec 13, 2023 · 7:29 AM UTC",Dec 13
8:00am,2 Southern Ground Hornbills on the move,"S118, 1.3km from S114 Near Malelane",5/5,JessicaJane,"Dec 13, 2023 · 7:09 AM UTC",Dec 13
7:25am,3 Southern Ground Hornbills in a tree,"""Two are in a tree on the Western side and one has what looks like a frog in its beak. The third one flew over the road and out of sight."" H3, 1.2km N of S113 Near Skukuza",5/5,MicahelLever1 - Latest Sightings,"Dec 13, 2023 · 7:08 AM UTC",Dec 13
8:54am,5 Lions sleeping,"H5, 2.1km from H4-2 Near Crocodile Bridge",4/5,Didi,"Dec 13, 2023 · 6:59 AM UTC",Dec 13
6:00am,2 Lions on the move,"""Walking on the road."" S30, just off H12 Near Skukuza",5/5,Gert,"Dec 13, 2023 · 6:37 AM UTC",Dec 13
8:15am,2 Spotted Hyenas on the move,"""Moving along the road."" S25, 3km E of S26 Near Crocodile Bridge",5/5,Motalas,"Dec 13, 2023 · 6:29 AM UTC",Dec 13
7:55am,1 Lion stationary,"""A female."" S25, 3.6km E of S26 Near Crocodile Bridge",4/5,Didi,"Dec 13, 2023 · 6:06 AM UTC",Dec 13
7:45am,1 Saddle billed Stork stationary,"""Right on the side of the road on the Western side."" H3, 3.2km N of Afsaal Near Malelane",5/5,MichaelLever1 - Latest Sightings,"Dec 13, 2023 · 6:02 AM UTC",Dec 13
7:40am,1 Leopard in a tree,"""Chilling."" H1-1, about 1km from Skukuza",5/5,The Neumann Girls,"Dec 13, 2023 · 5:57 AM UTC",Dec 13
7:34am,1 Leopard in a tree,"H1-1, 1.5km S of H11 Near Skukuza",4/5,kingelen460,"Dec 13, 2023 · 5:57 AM UTC",Dec 13
7:43am,2 Lions stationary,"S118, 850m from S114 Near Malelane",3/5,JessicaJane,"Dec 13, 2023 · 5:57 AM UTC",Dec 13
7:42am,7 Wild Dogs on the move,"""Bathing in a puddle."" S25, 6.1km E of S26 Near Crocodile Bridge",5/5,Didi,"Dec 13, 2023 · 5:50 AM UTC",Dec 13
7:28am,1 Lion stationary,"S25, 3.6km E of S26 Near Crocodile Bridge",3/5,BerniceVos,"Dec 13, 2023 · 5:35 AM UTC",Dec 13
6:36am,1 Leopard on the move,"""Update: It left the tree."" H11, 1.8km from Paul Kruger Gate",0/5,LauLau,"Dec 13, 2023 · 5:03 AM UTC",Dec 13
6:23am,1 Leopard in a tree with kill,"""Looks like an impala kill."" H11, 1.8km from Paul Kruger Gate",3/5,lemonadeshock,"Dec 13, 2023 · 5:02 AM UTC",Dec 13
6:32am,1 Leopard on the move,"""It was in a tree then later jumped off and went into the bush. Visibility was 5/5 before going into the bushes."" S114, 4km from H3 Near Malelane",0/5,Aryeh,"Dec 13, 2023 · 5:02 AM UTC",Dec 13
6:21am,6 Spotted Hyenas stationary,"""Chilling on the road."" S1, about 1.5km E of S3 Near Phabeni",5/5,The Neumann Girls,"Dec 13, 2023 · 5:01 AM UTC",Dec 13
6:00am,7 Spotted Hyena stationary,"""On the road side. There is a baby suckling."" S1, close to Phabeni Gate",5/5,Aaqilah Moula,"Dec 13, 2023 · 4:29 AM UTC",Dec 13
5:50pm,1 Leopard in a tree,"""On the Southern side of the road, very obscured by the foliage."" H11, 1.7km from Paul Kruger Gate",2/5,MichaelLever1 - Latest Sightings,"Dec 12, 2023 · 4:01 PM UTC",Dec 12
4:15pm,2 Bushbucks stationary,"""A first for me. A juvenile bushbuck."" H4-1, 1.2km N of Nkuhlu Picnic Spot Near Skukuza",5/5,MichaelLever1 - Latest Sightings,"Dec 12, 2023 · 3:22 PM UTC",Dec 12
4:05pm,1 Boomslang on the move,"""It slithered quickly across the road and up a tree where it disappeared completely from view. Too quick for a photo."" H4-1, 3.1km S of Nkuhlu Picnic Spot Near Lower Sabie",5/5,MichaelLever1 - Latest Sightings,"Dec 12, 2023 · 3:22 PM UTC",Dec 12
4:28pm,2 Spotted Hyena stationary,"""Baby hyenas peeking out the culvert on the left. They later went back into the culvert."" S1, about 1km from S4 going from Skukuza",5/5,Greg,"Dec 12, 2023 · 2:52 PM UTC",Dec 12
1:30pm,Pride of Lion ,"""Update: they are sleeping."" S108, 100m from H5 Near Crocodile Bridge",5/5,Yusuf,"Dec 12, 2023 · 12:29 PM UTC",Dec 12
1:26pm,1 Hippopotamus stationary,"S25, 2.3km W of S27 Near Crocodile Bridge",5/5,Jescom,"Dec 12, 2023 · 11:38 AM UTC",Dec 12
11:55am,2 Impalas feeding,"""Baby having a midday snack."" S3, 5km N of S1 Near Phabeni",5/5,Frannie - Tambotie Transfers and Tours,"Dec 12, 2023 · 11:37 AM UTC",Dec 12
11:20am,1 African Fish Eagle in a tree,"S3, 3km from H11 Near Paul Kruger Gate",5/5,Frannie - Tambotie Transfers and Tours,"Dec 12, 2023 · 11:37 AM UTC",Dec 12
5:55am,10 Wild Dog on the move,"S128, 1.2km N of S30 Near Lower Sabie",5/5,Mdmar,"Dec 12, 2023 · 11:01 AM UTC",Dec 12
12:39pm,4 Lion sleeping,"S108, 170m from H5 Near Crocodile Bridge",5/5,sarajanemalone,"Dec 12, 2023 · 11:00 AM UTC",Dec 12
6:48am,2 Spotted Hyena stationary,"H3, 2km S of Afsaal Near Malelane",5/5,Zian2025,"Dec 12, 2023 · 10:37 AM UTC",Dec 12
12:25pm,1 Crocodile feeding,"""It has a catfish in its mouth."" H10, at the Sabie Bridge Near Lower Sabie",5/5,KopiteonSafari,"Dec 12, 2023 · 10:37 AM UTC",Dec 12
10:45am,2 Mauritian Tomb Bat stationary,"""The Afsaal regulars hanging under the thatch by the waiting area."" Afsaal Trader's Rest, at the picnic site Near Malelane",5/5,MichaeLLever1 - Latest Sightings,"Dec 12, 2023 · 10:30 AM UTC",Dec 12
10:25am,2 Southern Ground Hornbill on the move,"""One was carrying a dead bird while walking across the road and into the bushes."" Renosterpan access road, 1.8km from H3 Near Malelane",5/5,MichaeLLever1 - Latest Sightings,"Dec 12, 2023 · 10:30 AM UTC",Dec 12
11:45am,1 Lion stationary,"""Update: Male on the western side of the road under a bush."" H1-1, 230m S of S114 Near Skukuza",5/5,MichaeLLever1 - Latest Sightings,"Dec 12, 2023 · 10:19 AM UTC",Dec 12
11:45am,7 Lion stationary.,"""Relaxing and sleeping."" S108, 170m from H5 Near Crocodile Bridge",5/5,Liske and Gian,"Dec 12, 2023 · 10:09 AM UTC",Dec 12
11:00am,3 Cheetah on the move,"""Update: Mom with 2 cubs."" S82, 8km from H4-2 S entrance Near Lower Sabie",5/5,Didi,"Dec 12, 2023 · 9:55 AM UTC",Dec 12
7:26am,Pack of Wild Dog on the move,"""Moving towards H1-1."" S65, 1km from H1-1 Near Skukuza",5/5,"Justin, Nikki and Gayle","Dec 12, 2023 · 9:17 AM UTC",Dec 12
10:58am,2 Black backed Jackal on the move,"S28, 3.4km from H4-2 S entrance Near Crocodile Bridge",5/5,Kerry - Kruger Pride Safaris,"Dec 12, 2023 · 9:01 AM UTC",Dec 12
9:55am,3 Lion stationary,"S137, 500m E of Duke waterhole access road Near Lower Sabie",5/5,Ou Maat,"Dec 12, 2023 · 8:59 AM UTC",Dec 12
8:36am,1 Leopard on the move,"S137, 400m W of Duke waterhole access road Near Lower Sabie",5/5,SHerb,"Dec 12, 2023 · 8:47 AM UTC",Dec 12
7:10am,2 Dung Beetle on the move,"""Laboring with their kills."" S25, at the Lukimbi Lodge turnoff Near Malelane",5/5,Frannie - Tambotie Tranfers and Tours,"Dec 12, 2023 · 8:42 AM UTC",Dec 12
7:00am,4 Southern Ground Hornbill on the move,"""Feeding on the ground and against a dead tree stump."" S25, 400m E of S119 Near Malelane",5/5,Frannie - Tambotie Tranfers and Tours,"Dec 12, 2023 · 8:42 AM UTC",Dec 12
6:50am,1 Snail on the move,"""A big snail."" S25, 300m W of S119 Near Malelane",5/5,Frannie - Tambotie Tranfers and Tours,"Dec 12, 2023 · 8:42 AM UTC",Dec 12
10:30am,1 Leopard stationary,"""Just on the left of the road going towards Malelane Gate."" H3, just N of S114",5/5,Melissaheatherb,"Dec 12, 2023 · 8:36 AM UTC",Dec 12
10:15am,1 Buffalo stationary,"""A very lonely and stressed baby."" S28, 1.5km S of S107 Near Lower Sabie",5/5,Kerry - Kruger Pride Safaris,"Dec 12, 2023 · 8:32 AM UTC",Dec 12
9:58am,2 Lion stationary,"""Lionesses."" S137, 200m E of Duke waterhole access road Near Lower Sabie",5/5,Kerry - Kruger Pride Safaris,"Dec 12, 2023 · 8:32 AM UTC",Dec 12
9:55am,1 Lion stationary,"""A young male lying flat."" S137, 4.6km from S130 Near Lower Sabie",5/5,Kerry - Kruger Pride Safaris,"Dec 12, 2023 · 8:32 AM UTC",Dec 12
9:57am,7 Buffalo on the move,"""Huge males crossing the road."" H3, 350m S of S120 Near Malelane",5/5,MichaelLever1 - Latest Sightings,"Dec 12, 2023 · 8:05 AM UTC",Dec 12
9:10am,1 Elephant stationary,"S110 gravel, at the Matjulu waterhole Near Berg en Dal",5/5,MichaelLever1 - Latest Sightings,"Dec 12, 2023 · 7:59 AM UTC",Dec 12
9:40am,1 Leopard on the move,"""It has a kill in a tree nearby."" H11, 1.7km from Paul Kruger Gate",4/5,lisa_dj,"Dec 12, 2023 · 7:59 AM UTC",Dec 12
9:40am,1 Leopard in a tree,"""Quite far off on the western side of the road."" H3, 450m N of S114 Near Malelane",3/5,MichaelLever1 - Latest Sightings,"Dec 12, 2023 · 7:59 AM UTC",Dec 12
8:50am,5 Southern Ground hornbill in a tree,"S26, 2km E of S114 Near Skukuza",5/5,Paula de Man,"Dec 12, 2023 · 7:35 AM UTC",Dec 12
9:07am,1 Buffalo stationary,"""Chilling in the grass."" Lower Sabie Camp, at the viewing deck",4/5,Jescom,"Dec 12, 2023 · 7:31 AM UTC",Dec 12
8:36am,5 Wild Dog stationary,"H3, 5km n of Afsaal Near Malelane",4/5,wimhomble,"Dec 12, 2023 · 7:31 AM UTC",Dec 12
9:07am,1 Lion drinking,"""It wants to drink water but is scared of the hippo in the water."" S25, 2.3km W of S27 Near Crocodile Bridge",1/5,Tinnerie,"Dec 12, 2023 · 7:31 AM UTC",Dec 12
8:27am,2 Spotted Hyena stationary,"S66, at the Transport Dam Near Skukuza",4/5,Meerkat629,"Dec 12, 2023 · 7:24 AM UTC",Dec 12
7:15am,2 Dung Beetle on the move,"""Rolling their dung ball along the side of the road."" S114, 260m N of H2-2 Near Malelane",5/5,MichaelLever1 - Latest Sightings,"Dec 12, 2023 · 7:24 AM UTC",Dec 12
